Postal Code,Borough,Neighbourhood,Latitude,Longitude
M4V,Central Toronto,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",43.686,-79.40233
M4S,Central Toronto,Davisville,43.70277,-79.38577
M4T,Central Toronto,"Moore Park, Summerhill East",43.6905,-79.38297
M5P,Central Toronto,"Forest Hill North & West, Forest Hill Road Park",43.69479,-79.4144
M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.67484,-79.4037
M4P,Central Toronto,Davisville North,43.71276,-79.38851
M5N,Central Toronto,Roselawn,43.71194,-79.41912
M4R,Central Toronto,"North Toronto West,  Lawrence Park",43.71452,-79.40696
M4N,Central Toronto,Lawrence Park,43.72813,-79.38709
M5E,Downtown Toronto,Berczy Park,43.64516,-79.37367
M6G,Downtown Toronto,Christie,43.66869,-79.42071
M5G,Downtown Toronto,Central Bay Street,43.65609,-79.38493
M5X,Downtown Toronto,"First Canadian Place, Underground city",43.64834,-79.38446
M5K,Downtown Toronto,"Toronto Dominion Centre, Design Exchange",43.6484,-79.38394
M4Y,Downtown Toronto,Church and Wellesley,43.66659,-79.3813
M5S,Downtown Toronto,"University of Toronto, Harbord",43.66311,-79.4018
M7A,Downtown Toronto,"Queen's Park, Ontario Provincial Government",43.66107,-79.39089
M4W,Downtown Toronto,Rosedale,43.68196,-79.37844
M5J,Downtown Toronto,"Harbourfront East, Union Station, Toronto Islands",43.62347,-79.39398
M5W,Downtown Toronto,Stn A PO Boxes,43.58186,-81.52013
M5C,Downtown Toronto,St. James Town,43.65121,-79.37548
M5H,Downtown Toronto,"Richmond, Adelaide, King",43.64869,-79.38544
M5A,Downtown Toronto,"Regent Park, Harbourfront",43.65512,-79.36264
M5L,Downtown Toronto,"Commerce Court, Victoria Hotel",43.64839,-79.37886
M4X,Downtown Toronto,"St. James Town, Cabbagetown",43.66816,-79.3666
M5B,Downtown Toronto,"Garden District, Ryerson",43.65736,-79.37818
M5V,Downtown Toronto,"CN Tower, King and Spadina, Railway Lands, Harbourfront West, Bathurst Quay, South Niagara, Island airport",43.64082,-79.39954
M5T,Downtown Toronto,"Kensington Market, Chinatown, Grange Park",43.65353,-79.39723
M4E,East Toronto,The Beaches,43.67653,-79.29541
M4K,East Toronto,"The Danforth West, Riverdale",43.68326,-79.35512
M4L,East Toronto,"India Bazaar, The Beaches West",43.66799,-79.31464
M4M,East Toronto,Studio District,43.66277,-79.33483
M7Y,East Toronto,"Business reply mail Processing Centre, South Central Letter Processing Plant Toronto",43.5819,-81.5199
M4J,East York,"East Toronto, Broadview North (Old East York)",43.68877,-79.33417
M4B,East York,"Parkview Hill, Woodbine Gardens",43.70747,-79.3118
M4C,East York,Woodbine Heights,43.68965,-79.30717
M4H,East York,Thorncliffe Park,43.70124,-79.34988
M4G,East York,Leaside,43.70977,-79.36379
M9P,Etobicoke,Westmount,43.6963,-79.53041
M8Y,Etobicoke,"Old Mill South, King's Mill Park, Sunnylea, Humber Bay, Mimico NE, The Queensway East, Royal York South East, Kingsway Park South East",43.63277,-79.4896
M8Z,Etobicoke,"Mimico NW, The Queensway West, South of Bloor, Kingsway Park South West, Royal York South West",43.62507,-79.52714
